30 29
0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;3;3;3;0;0;
0;0;0;0;0;0;0;1;0;1;0;1;0;1;0;0;0;0;0;0;0;0;0;0;3;3;3;3;0;0;
0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;3;3;3;0;0;
0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
0;0;0;0;0;0;0;0;0;0;0;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;
0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;3;3;3;0;0;
0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;3;3;3;0;0;
0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;3;3;3;0;0;
0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;
0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;
0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;
0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;2;0;0;
0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;2;0;0;
0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;
0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;2;0;0;
0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;
0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;3;3;3;3;0;0;
0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;3;3;3;3;0;0;
0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;3;3;3;0;0;
0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;



GRID
2,5,1
2,7,1
2,9,1
2,11,1
2,13,1
3,4,1
3,14,1
5,4,1
5,14,1
6,15,1
6,17,1
6,19,1
6,21,1
6,23,1
6,25,1
6,27,1
6,29,1
6,31,1
6,37,1
6,39,1
6,51,1
6,53,1
7,14,1
7,20,1
7,32,1
7,36,1
7,40,1
7,50,1
7,54,1
9,4,1
9,32,1
9,36,1
9,40,1
9,50,1
9,54,1
10,33,1
10,35,1
10,47,1
10,49,1
11,4,1
11,14,1
11,20,1
11,32,1
11,40,1
11,46,1
11,54,1
13,4,1
13,14,1
13,20,1
13,46,1
13,54,1
14,5,1
14,7,1
14,9,1
14,13,1
14,15,1
14,17,1
14,19,1
14,21,1
14,23,1
15,4,1
15,24,1
15,32,1
15,40,1
15,46,1
16,25,1
16,27,1
16,31,1
16,33,1
16,35,1
16,39,1
17,4,1
17,40,1
17,46,1
17,54,1
18,5,1
18,7,1
18,41,1
18,43,1
18,45,1
19,4,1
19,8,1
19,40,1
20,17,1
20,19,1
20,23,1
20,25,1
21,4,1
21,8,1
21,16,1
21,26,1
21,40,1
21,54,1
22,9,1
22,33,1
22,39,1
23,4,1
23,10,1
23,16,1
23,26,1
23,32,1
23,40,1
24,31,1
25,4,1
25,16,1
25,30,1
25,54,1
27,4,1
27,10,1
27,16,1
27,26,1
27,30,1
27,40,1
28,31,1
28,33,1
28,37,1
28,39,1
29,4,1
29,10,1
29,16,1
29,26,1
29,30,1
29,40,1
29,54,1
30,5,1
30,7,1
30,9,1
30,11,1
30,13,1
30,15,1
30,17,1
30,19,1
30,21,1
30,23,1
30,25,1
31,4,1
31,30,1
31,40,1
31,54,1
32,31,1
32,37,1
32,39,1
32,45,1
32,47,1
32,49,1
32,51,1
32,53,1
33,30,1
33,36,1
33,48,1
33,54,1
35,4,1
35,30,1
35,36,1
35,54,1
36,5,1
36,7,1
36,11,1
36,13,1
36,15,1
36,19,1
36,21,1
36,23,1
36,27,1
36,29,1
37,36,1
37,40,1
37,44,1
37,54,1
38,41,1
38,43,1
38,49,1
38,53,1
39,36,1
39,40,1
39,44,1
39,48,1
41,36,1
41,48,1
43,36,1
43,48,1
44,37,1
44,41,1
44,43,1
44,47,1
/GRID
